,Close,High,Low,Open,Volume,SMA50,SMA200,RSI,MACD,Bollinger_Width,ATR,Volume_Ratio,PE_Proxy,EPS_Proxy,Market_Cap_Proxy,Volatility_30d,Max_Drawdown_252d,FinBERT_Score,Sentiment_Positive_Pct,Sentiment_Negative_Pct,future_return_30d,Symbol
2024-06-03 22:23:28.802389,99.05125196233706,100.15170504664958,98.2361659002722,98.13339001528229,1096393,98.7577011734949,92.63039960072209,51.17202593887175,-0.07397082757789519,3.458671823060911,2.2373127083460957,0.3213282159055698,10.603828673507286,9.905125196233707,337969384.3153106,0.15531542955276204,-0.172353092369109,0.6835723894109552,0.6835723894109552,0.3164276105890448,-3.2431709622246196,SYNTH
2024-06-04 22:23:28.802389,101.17340815934969,101.26023322505932,100.35919518109844,99.05125196233706,4746328,98.90422073477241,92.69632471938951,59.20158409078702,0.12585251331336167,3.9945937645591414,2.230608709956702,1.3769435109522832,10.830702544529624,10.11734081593497,348745011.0934804,0.16667579927582274,-0.172353092369109,0.9244312394025267,0.9244312394025267,0.0755687605974733,-3.7050652838794536,SYNTH
2024-06-05 22:23:28.802389,102.20587341990084,103.47217617108889,102.07385373162036,101.17340815934969,2910332,99.05031356022022,92.76435378291549,62.437932136077734,0.36333694632554625,4.818022842259239,2.258230612175556,0.8497841239774775,10.94037026625113,10.220587341990084,350033632.7885675,0.1622076283286059,-0.172353092369109,0.7064930521102294,0.7064930521102294,0.2935069478897706,-5.888919472249997,SYNTH
2024-06-06 22:23:28.802389,100.68650345394683,102.58931013836015,99.98886238600787,102.20587341990084,3692636,99.19357237370808,92.81963099899922,55.465167280734384,0.42405635443475376,4.87467273281419,2.281585951462166,1.0819107536635026,10.777879468807491,10.068650345394683,343649978.6227337,0.16779122175244834,-0.172353092369109,0.19612600680919728,0.19612600680919728,0.8038739931908028,-2.3502834638406402,SYNTH
2024-06-07 22:23:28.802389,100.20226938108057,101.40549302137323,99.98027318349794,100.68650345394683,4740030,99.34590300653697,92.86783064412302,53.4176944885973,0.4281676301385744,4.659731516199969,2.265677633986712,1.3644820152477308,10.727105430951847,10.020226938108058,348089427.0696348,0.16545113857812216,-0.172353092369109,0.4031531854267497,0.4031531854267497,0.5968468145732503,-3.82653206492911,SYNTH
2024-06-08 22:23:28.802389,101.4691805302672,103.10755824912077,99.85271011024875,100.20226938108057,3498578,99.5132711570054,92.92656093260888,57.806248514800615,0.5275734491562787,5.071492546949514,2.3646144624843433,1.014290214387643,10.863115101844855,10.14691805302672,349996320.23024476,0.16948459587412357,-0.172353092369109,0.7533822298373245,0.7533822298373245,0.2466177701626755,-5.176910057245416,SYNTH
2024-06-09 22:23:28.802389,100.76151106464842,102.52992399134523,98.86613501271948,101.4691805302672,4812010,99.65621019914319,92.98329893564589,54.70594659362739,0.5429910029908314,5.227133402456474,2.4414442229897952,1.3301686699848851,10.787948743659728,10.076151106464842,364514222.74417907,0.16769322236266954,-0.172353092369109,0.3584661068762438,0.3584661068762438,0.6415338931237562,-3.9270764183297766,SYNTH
2024-06-10 22:23:28.802389,101.20533049279464,101.66149003669251,101.06069754227877,100.76151106464842,2478081,99.7977246761178,93.04059971866661,56.28929873438146,0.5842867502290829,5.398124100940464,2.3103588956511607,0.6948973752427627,10.836586873464215,10.120533049279466,360909417.0276578,0.1664396505914838,-0.172353092369109,0.5887638856292456,0.5887638856292456,0.41123611437075436,-4.070743191216648,SYNTH
2024-06-11 22:23:28.802389,101.97996454622398,102.40405422604043,100.06973413164057,101.20533049279464,2570889,99.87767720434789,93.0968959463189,58.9843142019199,0.6717765991909914,5.81781883849348,2.343757966577428,0.7207699905293575,10.920657453153213,10.197996454622398,363748730.5481796,0.16669618715442974,-0.172353092369109,0.6549268106858673,0.6549268106858673,0.34507318931413267,-5.410026075203186,SYNTH
2024-06-12 22:23:28.802389,101.0530340746459,102.27499605234787,100.0078808759724,101.97996454622398,4179068,99.92767331293254,93.15095339280249,54.642795694113154,0.6587240318507384,5.855929709347635,2.303804242131871,1.1795833172092365,10.822722734386852,10.10530340746459,358014135.0281174,0.16752007101286268,-0.172353092369109,0.3146139056843834,0.3146139056843834,0.6853860943156166,-4.748332888914978,SYNTH
